ChemicalID,DiseaseID,label
D002719,MESH:D019969,1
D005641,MESH:D005770,1
D006830,MESH:D046110,1
C527525,MESH:D001284,0
C472242,MESH:D000647,1
C557933,MESH:D016773,0
C108492,MESH:D004605,0
C011677,MESH:D011565,1
D015230,MESH:D014390,0
C487773,MESH:D007333,1
D012254,MESH:D009157,1
C052659,MESH:D013274,1
D010830,MESH:D002819,1
D013655,MESH:D011818,0
D008140,MESH:D014839,1
D000078328,MESH:D000860,1
C511222,MESH:D002545,1
C008299,MESH:D001424,0
D000077613,MESH:D001172,1
C057912,MESH:D011164,0
D004966,MESH:D060825,1
C400142,MESH:D020096,0
C121465,MESH:D002658,0
C000597234,MESH:D006985,0
C000616980,MESH:D004415,0
C085514,MESH:D005910,1
D008012,MESH:D019547,1
D008234,MESH:D004715,1
D014295,MESH:D011776,1
D000929,MESH:D002288,0
D005680,MESH:D012640,1
D016566,MESH:D006930,1
D012459,MESH:D056648,0
D000082,MESH:D051437,1
D000069348,MESH:D003865,1
C011686,MESH:D003318,0
D009257,MESH:D001437,0
C520022,MESH:D002296,0
D004999,MESH:D013921,1
C009131,MESH:D006102,0
C064876,MESH:D013610,1
D000721,MESH:D006470,0
D000077185,MESH:D020370,1
C043438,MESH:D003111,0
D001599,MESH:D015179,1
C584509,MESH:D014524,0
D005419,MESH:D008113,1
D008775,MESH:D066126,1
D003622,MESH:D015440,1
D017290,MESH:D011086,0
C501880,MESH:D013530,0
C080157,MESH:D016609,0
C551454,MESH:D016908,0
C000713095,MESH:D003093,1
D005707,MESH:D015464,1
C539236,MESH:D003872,1
C518685,MESH:D005356,0
D012717,MESH:D018240,0
D015282,MESH:D008303,1
D018750,MESH:D016869,0
D012977,MESH:D014005,0
D003894,MESH:D008471,0
C030851,MESH:D004932,0
D012856,MESH:D020275,0
D017239,MESH:D002286,1
D013654,MESH:D003072,1
C546771,MESH:D018805,1
D000077728,MESH:D004697,1
C000595958,MESH:D006521,1
D012673,MESH:D009397,0
C000726939,MESH:D056929,0
C000625861,MESH:C535933,0
D011341,MESH:D064420,1
D002945,MESH:D016640,0
C534628,MESH:D013945,0
D008727,MESH:D014523,1
C017953,MESH:D008103,1
D009020,MESH:D006331,1
D015647,MESH:D020734,1
C003466,MESH:D058186,1
C561310,MESH:D003554,0
C088233,MESH:D014355,0
C104457,MESH:D015458,1
C500810,MESH:D002289,1
D004659,MESH:D002538,1
C038637,MESH:D001768,0
D017316,MESH:D017439,0
C012293,MESH:D008106,0
C513118,MESH:D009393,0
D015282,MESH:D007006,1
D000525,MESH:D006327,1
C045621,MESH:D019446,0
C024657,MESH:D010033,1
D000078785,MESH:D009845,1
D000961,MESH:D009134,0
C415032,MESH:D007249,0
C031927,MESH:D015877,0
C032587,MESH:D014010,0
C508178,MESH:D010255,0
C070066,MESH:D000072660,1
C095424,MESH:D013274,1
D002442,MESH:D008583,1
C493512,MESH:D014202,1
D008801,MESH:D014555,0
D000068580,MESH:D000437,1
C077990,MESH:D003110,1
C006780,MESH:D015228,0
C054649,MESH:D014839,1
C038881,MESH:D013119,0
D000077784,MESH:C535833,0
C036901,MESH:D016301,0
C528002,MESH:D008199,0
C559866,MESH:D062025,1
C025667,MESH:D006408,1
C000913,MESH:D010612,1
C038462,MESH:D010523,1
C053355,MESH:D001932,0
D028321,MESH:D006528,1
C122148,MESH:D001170,0
C527236,MESH:D007938,1
C005177,MESH:D011782,0
C007836,MESH:D005234,1
D004002,MESH:D011128,1
D015016,MESH:D056151,0
C406343,MESH:D006948,1
D008063,MESH:D003922,1
C093973,MESH:D014005,0
C040738,MESH:D002575,0
D000069464,MESH:D002385,0
D017245,MESH:D003586,1
C101705,MESH:D010048,0
D005996,MESH:D046110,1
D017239,MESH:D018270,1
C510228,MESH:D011226,0
C040048,OMIM:188890,0
C003922,MESH:D003085,1
D009566,MESH:D003324,1
D012254,MESH:D061206,0
C416835,MESH:D017700,0
D002939,MESH:D012003,1
C006104,MESH:D002375,1
D007217,MESH:D008269,0
C035253,MESH:D011832,0
C010262,MESH:D020774,0
D000583,MESH:D007710,1
C015952,MESH:D002375,1
C012526,MESH:C538178,0
C075257,MESH:D006948,1
C007020,MESH:D015299,0
D009529,MESH:D019966,1
C107773,MESH:D003110,1
D012254,MESH:D018177,1
D014975,MESH:D009203,1
C081643,MESH:D013967,0
C042557,MESH:D002318,0
D013654,MESH:D009442,0
D013999,MESH:D017439,0
C519845,MESH:D009889,0
C004692,MESH:D002252,0
D008558,MESH:D000230,1
C013407,MESH:D006470,0
C502260,MESH:D020757,0
D000093542,MESH:D009101,1
D015735,MESH:D002277,1
D058988,MESH:D029424,1
D005363,MESH:D015821,0
D006854,MESH:D012393,1
C417083,MESH:D019694,1
D008464,MESH:D020234,0
D013096,MESH:D007819,0
C030737,MESH:D056486,1
D001590,MESH:D010300,1
C000593334,MESH:D018241,0
D002442,MESH:D007683,1
D005839,MESH:D010019,1
C029036,MESH:D007674,1
C015392,MESH:D002545,1
D010396,MESH:D007249,1
D039823,MESH:D013364,0
C045117,MESH:D015362,0
C116017,MESH:D002277,0
C434926,MESH:D020760,1
C107831,MESH:D011507,0
D001629,MESH:D050171,1
D001241,MESH:D012851,1
C093642,MESH:D056486,1
C501277,MESH:D034721,0
C524539,MESH:D007249,1
C096118,MESH:D000078064,0
D003366,MESH:D006259,0
D005907,MESH:D009203,1
D006143,MESH:D045826,0
D010400,MESH:D009145,1
C091884,MESH:D007674,1
C489645,MESH:D003969,0
D002118,MESH:D012640,1
D009627,MESH:D004605,0
C079422,MESH:D064726,0
C538949,MESH:D003240,0
C035287,MESH:D020078,1
C071197,MESH:D055756,0
